25.0625735,121.6321635,55,0.08,5.3,81,76,23.6,23.6
25.0624465,121.6320212,64,0.09,5.1,81,76,23.4,23.4
25.0623011,121.6318681,73,0.11,5.1,81,76,25,25
25.0621579,121.6317372,81,0.12,5.3,80,75,25.6,25.6
25.0620226,121.6315988,89,0.13,5.5,81,76,25.2,25.2
25.0618792,121.6314541,98,0.14,5.6,80,75,27.4,27.4
25.0617176,121.6313285,107,0.16,5.6,81,76,29.4,29.4
25.0615736,121.6312028,116,0.17,5.4,80,75,29.2,29.2
25.0614267,121.6310694,125,0.18,5.3,81,76,28.2,28.2
25.0612743,121.6309363,135,0.2,5.2,80,70,26,26
25.0611196,121.6308258,144,0.21,5.1,80,73,24.4,24.4
25.0609433,121.6307183,153,0.22,5.2,81,71,23.8,23.8
25.0607965,121.6305939,162,0.24,5.3,80,70,24.4,24.4
25.0606534,121.6304604,171,0.25,5.2,81,71,23.6,23.6
25.0604915,121.630342,180,0.26,5.3,81,84,22.8,22.8
25.0603271,121.6302422,189,0.28,5.3,80,83,22.2,22.2
25.0601497,121.6301501,198,0.29,5.3,81,84,21.6,21.6
25.0599801,121.6300639,207,0.3,5.3,82,85,21.4,21.4
25.0597979,121.6299768,217,0.32,5.2,80,83,21.2,21.2
25.0596196,121.6299005,226,0.33,5.2,81,84,21.4,21.4
25.0594507,121.6298255,234,0.34,5.2,81,82,22,22
25.0592692,121.6297362,243,0.36,5.3,81,84,19.8,19.8
25.0590955,121.6296628,251,0.37,5.3,80,83,19.8,19.8
25.0589102,121.6295717,260,0.38,5.4,81,84,19.8,19.8
25.0587362,121.6294796,269,0.4,5.5,82,85,19.6,19.6
25.0585669,121.6293902,277,0.41,5.5,82,85,20.2,20.2
25.0583999,121.6293054,285,0.42,5.5,81,84,19.2,19.2
25.0582299,121.6292366,293,0.43,5.6,82,85,17.6,17.6
25.0580327,121.6291892,301,0.45,5.6,82,82,17.6,17.6
25.0578445,121.6291296,310,0.46,5.7,81,77,16.6,16.6
25.0576513,121.6290746,319,0.48,5.6,81,77,15.2,15.2
25.057462,121.6290211,328,0.49,5.6,81,77,14.6,14.6
25.0572801,121.6289712,336,0.5,5.6,81,77,13.6,13.6
25.0570996,121.6289247,344,0.51,5.6,81,77,12.4,12.4
25.0569039,121.628876,352,0.53,5.7,81,77,16,16
25.0567261,121.6288084,360,0.54,5.8,81,77,17.4,17.4
25.0565378,121.6287394,369,0.55,5.8,80,76,17.6,17.6
25.0563495,121.6286903,379,0.57,5.7,79,75,21.8,21.8
25.0561882,121.6286299,390,0.58,5.4,80,76,25.8,25.8
25.0561804,121.6286266,391,0.58,5.3,81,77,25.8,25.8
25.0561243,121.6286144,460,0.58,5,80,76,35.4,35.4
25.0560303,121.6285314,468,0.59,4.3,80,76,35.8,35.8
25.0559579,121.6284909,473,0.59,4.1,81,77,35.6,35.6
25.0557967,121.6283876,480,0.61,6.2,81,77,38.2,38.2
25.0556309,121.6282791,488,0.62,6.3,81,77,40.2,40.2
25.0556106,121.6282664,489,0.62,6.3,81,77,40.4,40.4
25.0554701,121.6281345,497,0.63,6.2,81,77,40,40
25.0553377,121.6279971,505,0.65,6,80,76,41.2,41.2
25.0552336,121.6278162,513,0.66,5.9,81,77,40.2,40.2
25.0551448,121.6276237,522,0.67,5.8,81,77,38.8,38.8
25.0550799,121.6274177,531,0.69,5.7,81,77,38,38
25.0550597,121.6272097,541,0.7,5.5,81,77,33.8,33.8
25.0550753,121.6271594,544,0.7,5.4,80,76,32.2,32.2
25.0550964,121.6270434,553,0.71,4.8,78,74,30,30
25.0551047,121.6268728,559,0.72,4.4,79,75,30.6,30.6
25.0550747,121.6267712,562,0.73,4.4,81,77,30.8,30.8
25.0551115,121.6265862,569,0.74,5,81,77,29.6,29.6
25.0551653,121.6263947,577,0.75,5.4,80,76,27.8,27.8
25.0552486,121.6262163,585,0.77,5.6,81,77,28.4,28.4
25.0553223,121.6260262,594,0.78,5.6,80,76,24.8,24.8
25.0554725,121.6258796,603,0.79,5.4,79,75,21,21
25.0556286,121.625763,611,0.81,5.6,81,77,22.2,22.2
25.0558007,121.6256797,620,0.82,5.6,80,76,26.8,26.8
25.055958,121.6255707,629,0.83,5.4,81,77,32.2,32.2
25.0561229,121.6254486,638,0.85,5.4,81,77,37.2,37.2
25.056279,121.6253346,646,0.86,5.5,81,77,39,39
25.0564254,121.6252136,654,0.87,5.6,81,77,40.2,40.2
25.0566043,121.6251121,663,0.89,5.6,81,77,41.6,41.6
25.0567541,121.6249974,671,0.9,5.6,81,77,42.2,42.2
25.0569218,121.6248901,680,0.91,5.6,81,77,42.8,42.8
25.0569478,121.6248782,681,0.91,5.6,81,77,41.8,41.8
25.0570561,121.6248299,686,0.92,5.6,81,77,38.8,38.8
25.0572405,121.6247446,695,0.94,5.7,81,77,33.4,33.4
25.0573958,121.6246348,703,0.95,5.7,80,76,32.6,32.6
25.0575627,121.6245365,711,0.96,5.6,81,77,30.6,30.6
25.0577298,121.6244286,719,0.98,5.7,81,77,30.2,30.2
25.0578877,121.6243146,727,0.99,5.7,81,77,30.6,30.6
25.0580281,121.6241893,735,1,5.8,82,78,30.6,30.6
25.058183,121.6240646,743,1.01,5.8,81,77,32,32
25.0583226,121.6239324,751,1.03,5.8,82,78,34.8,34.8
25.058493,121.62384,760,1.04,5.7,81,77,34.8,34.8
25.0586576,121.6237099,769,1.05,5.7,81,77,36,36
25.0588261,121.6235914,778,1.07,5.6,80,76,33,33
25.0589938,121.6234693,787,1.08,5.6,40,36,30.8,30.8
25.0591537,121.6233725,795,1.09,5.6,82,78,29,29
25.0593161,121.6232656,803,1.11,5.6,81,77,27.8,27.8
25.059492,121.6231565,812,1.12,5.7,82,78,27.6,27.6
25.0596547,121.6230438,821,1.13,5.6,81,77,29.6,29.6
25.0597865,121.6228943,829,1.15,5.6,81,77,32.6,32.6
